2021-05-11 18:02:51,105 - 

Running application application_simulation_SSO-CHB, with json SSO_Base.json

2021-05-11 18:02:53,037 - Task failed successfully

2021-05-11 18:02:53,037 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-1.json

2021-05-11 18:02:54,975 - Task failed successfully

2021-05-11 18:02:54,975 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-2.json

2021-05-11 18:02:56,942 - Task failed successfully

2021-05-11 18:02:56,942 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-3.json

2021-05-11 18:02:59,011 - Task failed successfully

2021-05-11 18:02:59,011 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-4.json

2021-05-11 18:03:00,951 - Task failed successfully

2021-05-11 18:03:00,951 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-5.json

2021-05-11 18:03:02,935 - Task failed successfully

2021-05-11 18:03:02,936 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-6.json

2021-05-11 18:03:04,866 - Task failed successfully

2021-05-11 18:03:04,866 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-7.json

2021-05-11 18:03:06,777 - Task failed successfully

2021-05-11 18:03:06,777 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-8.json

2021-05-11 18:03:08,711 - Task failed successfully

2021-05-11 18:03:08,712 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-9.json

2021-05-11 18:03:10,649 - Task failed successfully

2021-05-11 18:03:10,649 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-10.json

2021-05-11 18:03:12,664 - Task failed successfully

2021-05-11 18:03:12,665 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-11.json

2021-05-11 18:03:14,724 - Task failed successfully

2021-05-11 18:03:14,724 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-12.json

2021-05-11 18:03:16,744 - Task failed successfully

2021-05-11 18:03:16,744 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-13.json

2021-05-11 18:03:18,718 - Task failed successfully

2021-05-11 18:03:18,718 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-14.json

2021-05-11 18:03:20,703 - Task failed successfully

2021-05-11 18:03:20,703 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-15.json

2021-05-11 18:03:22,677 - Task failed successfully

2021-05-11 18:03:22,677 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-16.json

2021-05-11 18:03:24,624 - Task failed successfully

2021-05-11 18:03:24,624 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-17.json

2021-05-11 18:03:26,639 - Task failed successfully

2021-05-11 18:03:26,639 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-18.json

2021-05-11 18:03:28,612 - Task failed successfully

2021-05-11 18:03:28,612 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-19.json

2021-05-11 18:03:30,672 - Task failed successfully

2021-05-11 18:03:30,672 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-20.json

2021-05-11 18:03:32,674 - Task failed successfully

2021-05-11 18:03:32,674 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-1.json

2021-05-11 18:03:34,674 - Task failed successfully

2021-05-11 18:03:34,675 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-2.json

2021-05-11 18:03:36,603 - Task failed successfully

2021-05-11 18:03:36,604 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-3.json

2021-05-11 18:03:38,489 - Task failed successfully

2021-05-11 18:03:38,490 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-4.json

2021-05-11 18:03:40,456 - Task failed successfully

2021-05-11 18:03:40,456 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-5.json

2021-05-11 18:03:42,526 - Task failed successfully

2021-05-11 18:03:42,526 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-6.json

2021-05-11 18:03:44,502 - Task failed successfully

2021-05-11 18:03:44,503 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-7.json

2021-05-11 18:03:46,435 - Task failed successfully

2021-05-11 18:03:46,436 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-8.json

2021-05-11 18:03:48,379 - Task failed successfully

2021-05-11 18:03:48,379 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-9.json

2021-05-11 18:03:50,380 - Task failed successfully

2021-05-11 18:03:50,380 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-10.json

2021-05-11 18:03:52,390 - Task failed successfully

2021-05-11 18:03:52,391 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-11.json

2021-05-11 18:03:54,351 - Task failed successfully

2021-05-11 18:03:54,351 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-12.json

2021-05-11 18:03:56,293 - Task failed successfully

2021-05-11 18:03:56,294 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-13.json

2021-05-11 18:03:58,258 - Task failed successfully

2021-05-11 18:03:58,258 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-14.json

2021-05-11 18:04:00,205 - Task failed successfully

2021-05-11 18:04:00,205 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-15.json

2021-05-11 18:04:02,141 - Task failed successfully

2021-05-11 18:04:02,141 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-16.json

2021-05-11 18:04:04,115 - Task failed successfully

2021-05-11 18:04:04,116 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-17.json

2021-05-11 18:04:06,047 - Task failed successfully

2021-05-11 18:04:06,047 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-18.json

2021-05-11 18:04:08,040 - Task failed successfully

2021-05-11 18:04:08,040 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-19.json

2021-05-11 18:04:10,018 - Task failed successfully

2021-05-11 18:04:10,018 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-20.json

2021-05-11 18:04:12,056 - Task failed successfully

2021-05-11 18:04:12,056 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-1.json

2021-05-11 18:04:14,037 - Task failed successfully

2021-05-11 18:04:14,038 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-2.json

2021-05-11 18:04:16,138 - Task failed successfully

2021-05-11 18:04:16,138 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-3.json

2021-05-11 18:04:18,130 - Task failed successfully

2021-05-11 18:04:18,130 - 

