2021-04-22 16:29:53,947 - 

Running application application_simulation_SSO-CHB, with json SSO_Base.json

2021-04-22 16:29:56,080 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-1.json

2021-04-22 16:29:58,027 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-10.json

2021-04-22 16:30:00,030 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-2.json

2021-04-22 16:30:01,924 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-3.json

2021-04-22 16:30:03,895 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-4.json

2021-04-22 16:30:05,842 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-5.json

2021-04-22 16:30:07,839 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-6.json

2021-04-22 16:30:09,958 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-7.json

2021-04-22 16:30:11,887 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-8.json

2021-04-22 16:30:13,853 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-9.json

2021-04-22 16:30:15,779 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-1.json

2021-04-22 16:30:17,711 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-10.json

2021-04-22 16:30:19,715 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-2.json

2021-04-22 16:30:21,794 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-3.json

2021-04-22 16:30:23,714 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-4.json

2021-04-22 16:30:25,662 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-5.json

2021-04-22 16:30:27,569 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-6.json

2021-04-22 16:30:29,579 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-7.json

2021-04-22 16:30:31,597 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-8.json

2021-04-22 16:30:33,986 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-9.json

2021-04-22 16:30:36,222 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-1.json

2021-04-22 16:30:38,197 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-10.json

2021-04-22 16:30:40,373 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-2.json

2021-04-22 16:30:42,832 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-3.json

2021-04-22 16:30:44,898 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-4.json

2021-04-22 16:30:46,852 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-5.json

2021-04-22 16:30:48,883 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-6.json

2021-04-22 16:30:51,063 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-7.json

2021-04-22 16:30:53,139 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-8.json

2021-04-22 16:30:55,118 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-9.json

2021-04-22 16:30:57,253 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-1.json

2021-04-22 16:30:59,286 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-2.json

2021-04-22 16:31:01,292 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-3.json

2021-04-22 16:31:03,226 - 

Running application application_simulation_SSO-CHB, with json SSO_lengthRatios-1.json

2021-04-22 16:31:03,255 - 

Running application application_simulation_SSO-CHB, with json SSO_lengthRatios-2.json

2021-04-22 16:31:05,210 - 

Running application application_simulation_SSO-CHB, with json SSO_lengthRatios-3.json

2021-04-22 16:31:07,155 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-1.json

2021-04-22 16:31:09,195 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-10.json

2021-04-22 16:31:11,254 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-2.json

2021-04-22 16:31:13,280 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-3.json

2021-04-22 16:31:15,251 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-4.json

2021-04-22 16:31:17,289 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-5.json

2021-04-22 16:31:19,287 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-6.json

2021-04-22 16:31:21,365 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-7.json

2021-04-22 16:31:23,391 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-8.json

2021-04-22 16:31:25,608 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-9.json

2021-04-22 16:31:27,628 - 

Running application application_simulation_SSO-CHB, with json SSO_lineSeparationCoefficients-1.json

2021-04-22 16:31:30,032 - 

Running application application_simulation_SSO-CHB, with json SSO_lineSeparationCoefficients-2.json

2021-04-22 16:31:32,349 - 

Running application application_simulation_SSO-CHB, with json SSO_lineSeparationCoefficients-3.json

2021-04-22 16:31:34,536 - 

Running application application_simulation_SSO-CHB, with json SSO_noLines-1.json

2021-04-22 16:31:36,656 - 

Running application application_simulation_SSO-CHB, with json SSO_noLines-2.json

2021-04-22 16:31:38,880 - 

Running application application_simulation_SSO-CHB, with json SSO_noLines-3.json

2021-04-22 16:31:41,044 - 

Running application application_simulation_SSO-CHB, with json SSO_occultationCoefficients-1.json

2021-04-22 16:31:43,005 - 

Running application application_simulation_SSO-CHB, with json SSO_occultationCoefficients-2.json

2021-04-22 16:31:45,008 - 

Running application application_simulation_SSO-CHB, with json SSO_occultationCoefficients-3.json

2021-04-22 16:31:47,001 - 

Running application application_simulation_SSO-CHB, with json SSO_slackCoefficients-1.json

2021-04-22 16:31:48,996 - 

Running application application_simulation_SSO-CHB, with json SSO_slackCoefficients-2.json

2021-04-22 16:31:50,947 - 

Running application application_simulation_SSO-CHB, with json SSO_slackCoefficients-3.json

