2021-05-12 18:40:01,453 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_Base.json

2021-05-12 18:40:03,429 - Task failed successfully

2021-05-12 18:40:03,430 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-1.json

2021-05-12 18:40:05,350 - Task failed successfully

2021-05-12 18:40:05,350 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-2.json

2021-05-12 18:40:07,335 - Task failed successfully

2021-05-12 18:40:07,335 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-3.json

2021-05-12 18:40:09,294 - Task failed successfully

2021-05-12 18:40:09,295 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-4.json

2021-05-12 18:40:11,223 - Task failed successfully

2021-05-12 18:40:11,223 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-5.json

