2021-05-11 10:57:23,064 - 

Running application application_simulation_SSO-CHB, with json SSO_Base.json

2021-05-11 10:57:25,062 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-1.json

2021-05-11 10:57:27,089 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-2.json

2021-05-11 10:57:29,009 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-3.json

2021-05-11 10:57:31,103 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-4.json

2021-05-11 10:57:33,129 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-5.json

2021-05-11 10:57:35,122 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-6.json

2021-05-11 10:57:37,152 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-7.json

2021-05-11 10:57:39,045 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-8.json

2021-05-11 10:57:40,957 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-9.json

2021-05-11 10:57:42,880 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-10.json

2021-05-11 10:57:44,901 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-11.json

2021-05-11 10:57:46,844 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-12.json

2021-05-11 10:57:48,807 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-13.json

2021-05-11 10:57:50,805 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-14.json

2021-05-11 10:57:52,747 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-15.json

2021-05-11 10:57:54,713 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-16.json

2021-05-11 10:57:56,755 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-17.json

2021-05-11 10:57:58,714 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-18.json

2021-05-11 10:58:00,654 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-19.json

2021-05-11 10:58:02,582 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-20.json

2021-05-11 10:58:04,497 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-1.json

2021-05-11 10:58:06,462 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-2.json

2021-05-11 10:58:08,455 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-3.json

2021-05-11 10:58:10,831 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-4.json

2021-05-11 10:58:12,943 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-5.json

2021-05-11 10:58:14,915 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-6.json

2021-05-11 10:58:16,825 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-7.json

2021-05-11 10:58:18,788 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-8.json

2021-05-11 10:58:20,741 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-9.json

2021-05-11 10:58:22,798 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-10.json

2021-05-11 10:58:24,862 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-11.json

2021-05-11 10:58:26,954 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-12.json

2021-05-11 10:58:28,937 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-13.json

2021-05-11 10:58:30,842 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-14.json

2021-05-11 10:58:32,784 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-15.json

2021-05-11 10:58:34,724 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-16.json

2021-05-11 10:58:36,662 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-17.json

2021-05-11 10:58:38,638 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-18.json

2021-05-11 10:58:40,740 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-19.json

2021-05-11 10:58:42,886 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-20.json

2021-05-11 10:58:44,819 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-1.json

2021-05-11 10:58:46,714 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-2.json

2021-05-11 10:58:48,637 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-3.json

2021-05-11 10:58:50,654 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-4.json

2021-05-11 10:58:52,600 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-5.json

2021-05-11 10:58:54,509 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-6.json

2021-05-11 10:58:56,493 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-7.json

2021-05-11 10:58:58,436 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-8.json

2021-05-11 10:59:00,319 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-9.json

2021-05-11 10:59:02,220 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-10.json

2021-05-11 10:59:04,391 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-11.json

2021-05-11 10:59:06,360 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-12.json

2021-05-11 10:59:08,377 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-13.json

2021-05-11 10:59:10,278 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-14.json

2021-05-11 10:59:12,252 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-15.json

2021-05-11 10:59:14,205 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-16.json

2021-05-11 10:59:16,183 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-17.json

2021-05-11 10:59:18,119 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-18.json

2021-05-11 10:59:20,045 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-19.json

2021-05-11 10:59:22,019 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-20.json

2021-05-11 10:59:23,939 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-1.json

2021-05-11 10:59:25,888 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-2.json

2021-05-11 10:59:27,798 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-3.json

2021-05-11 10:59:29,707 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-4.json

2021-05-11 10:59:31,609 - 

