2021-05-12 16:00:28,521 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_Base.json

2021-05-12 16:00:30,480 - Task failed successfully

2021-05-12 16:00:30,481 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-1.json

2021-05-12 16:00:32,500 - Task failed successfully

2021-05-12 16:00:32,500 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-2.json

2021-05-12 16:00:34,399 - Task failed successfully

2021-05-12 16:00:34,399 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-3.json

2021-05-12 16:00:36,290 - Task failed successfully

2021-05-12 16:00:36,290 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-4.json

2021-05-12 16:00:38,222 - Task failed successfully

2021-05-12 16:00:38,222 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-5.json

2021-05-12 16:00:40,139 - Task failed successfully

2021-05-12 16:00:40,139 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-6.json

2021-05-12 16:00:42,057 - Task failed successfully

2021-05-12 16:00:42,057 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-7.json

2021-05-12 16:00:43,964 - Task failed successfully

2021-05-12 16:00:43,964 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-8.json

2021-05-12 16:00:45,883 - Task failed successfully

2021-05-12 16:00:45,883 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-9.json

2021-05-12 16:00:47,842 - Task failed successfully

2021-05-12 16:00:47,842 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-10.json

2021-05-12 16:00:49,749 - Task failed successfully

2021-05-12 16:00:49,750 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-1.json

2021-05-12 16:00:51,815 - Task failed successfully

2021-05-12 16:00:51,815 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-2.json

2021-05-12 16:00:53,746 - Task failed successfully

2021-05-12 16:00:53,746 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-3.json

2021-05-12 16:00:55,665 - Task failed successfully

2021-05-12 16:00:55,665 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-4.json

2021-05-12 16:00:57,597 - Task failed successfully

2021-05-12 16:00:57,597 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-5.json

2021-05-12 16:00:59,531 - Task failed successfully

2021-05-12 16:00:59,531 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-6.json

2021-05-12 16:01:01,454 - Task failed successfully

2021-05-12 16:01:01,454 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-7.json

2021-05-12 16:01:03,372 - Task failed successfully

