2021-05-12 18:40:58,569 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_Base.json

2021-05-12 18:41:00,505 - Task failed successfully

2021-05-12 18:41:00,505 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-1.json

2021-05-12 18:41:02,406 - Task failed successfully

2021-05-12 18:41:02,407 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-2.json

2021-05-12 18:41:04,371 - Task failed successfully

2021-05-12 18:41:04,371 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-3.json

2021-05-12 18:41:06,274 - Task failed successfully

2021-05-12 18:41:06,275 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-4.json

2021-05-12 18:41:08,194 - Task failed successfully

2021-05-12 18:41:08,194 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-5.json

2021-05-12 18:41:10,139 - Task failed successfully

2021-05-12 18:41:10,139 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-6.json

2021-05-12 18:41:12,133 - Task failed successfully

2021-05-12 18:41:12,133 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-7.json

2021-05-12 18:41:14,051 - Task failed successfully

2021-05-12 18:41:14,051 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-8.json

2021-05-12 18:41:15,990 - Task failed successfully

2021-05-12 18:41:15,991 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-9.json

2021-05-12 18:41:17,910 - Task failed successfully

2021-05-12 18:41:17,910 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-10.json

2021-05-12 18:41:19,832 - Task failed successfully

2021-05-12 18:41:19,832 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-11.json

2021-05-12 18:41:21,838 - Task failed successfully

2021-05-12 18:41:21,838 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-12.json

2021-05-12 18:41:23,855 - Task failed successfully

2021-05-12 18:41:23,855 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-13.json

2021-05-12 18:41:25,873 - Task failed successfully

2021-05-12 18:41:25,873 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-14.json

2021-05-12 18:41:27,876 - Task failed successfully

2021-05-12 18:41:27,876 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-15.json

2021-05-12 18:41:30,042 - Task failed successfully

2021-05-12 18:41:30,042 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-16.json

2021-05-12 18:41:32,092 - Task failed successfully

2021-05-12 18:41:32,092 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-17.json

