2021-05-11 11:32:58,167 - 

Running application application_simulation_SSO-CHB, with json SSO_Base.json

2021-05-11 11:33:00,199 - Task failed successfully

2021-05-11 11:33:00,199 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-1.json

2021-05-11 11:33:02,183 - Task failed successfully

2021-05-11 11:33:02,183 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-2.json

2021-05-11 11:33:04,246 - Task failed successfully

2021-05-11 11:33:04,246 - 

Running application application_simulation_SSO-CHB, with json SSO_areaRatios-3.json

2021-05-11 11:33:06,289 - Task failed successfully

2021-05-11 11:33:06,289 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-1.json

2021-05-11 11:33:08,215 - Task failed successfully

2021-05-11 11:33:08,215 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-2.json

2021-05-11 11:33:10,159 - Task failed successfully

2021-05-11 11:33:10,160 - 

Running application application_simulation_SSO-CHB, with json SSO_currents-3.json

2021-05-11 11:33:12,181 - Task failed successfully

2021-05-11 11:33:12,181 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-1.json

2021-05-11 11:33:14,170 - Task failed successfully

2021-05-11 11:33:14,171 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-2.json

2021-05-11 11:33:16,109 - Task failed successfully

2021-05-11 11:33:16,109 - 

Running application application_simulation_SSO-CHB, with json SSO_diameters-3.json

2021-05-11 11:33:18,048 - Task failed successfully

2021-05-11 11:33:18,049 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-1.json

2021-05-11 11:33:19,998 - Task failed successfully

2021-05-11 11:33:19,999 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-2.json

2021-05-11 11:33:22,031 - Task failed successfully

2021-05-11 11:33:22,032 - 

Running application application_simulation_SSO-CHB, with json SSO_endmassMasses-3.json

2021-05-11 11:33:24,090 - Task failed successfully

2021-05-11 11:33:24,090 - 

Running application application_simulation_SSO-CHB, with json SSO_lengthRatios-1.json

2021-05-11 11:33:26,082 - Task failed successfully

2021-05-11 11:33:26,083 - 

Running application application_simulation_SSO-CHB, with json SSO_lengthRatios-2.json

2021-05-11 11:33:28,094 - Task failed successfully

2021-05-11 11:33:28,095 - 

Running application application_simulation_SSO-CHB, with json SSO_lengthRatios-3.json

2021-05-11 11:33:30,117 - Task failed successfully

2021-05-11 11:33:30,117 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-1.json

2021-05-11 11:33:32,278 - Task failed successfully

2021-05-11 11:33:32,278 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-2.json

2021-05-11 11:33:34,256 - Task failed successfully

2021-05-11 11:33:34,257 - 

Running application application_simulation_SSO-CHB, with json SSO_lengths-3.json

2021-05-11 11:33:36,290 - Task failed successfully

2021-05-11 11:33:36,290 - 

Running application application_simulation_SSO-CHB, with json SSO_lineSeparationCoefficients-1.json

