2021-05-12 12:56:11,788 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_Base.json

2021-05-12 12:56:13,915 - Task failed successfully

2021-05-12 12:56:13,915 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-1.json

2021-05-12 12:56:15,878 - Task failed successfully

2021-05-12 12:56:15,879 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-2.json

2021-05-12 12:56:17,835 - Task failed successfully

2021-05-12 12:56:17,836 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_areaRatios-3.json

2021-05-12 12:56:19,719 - Task failed successfully

2021-05-12 12:56:19,720 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-1.json

2021-05-12 12:56:21,722 - Task failed successfully

2021-05-12 12:56:21,722 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-2.json

2021-05-12 12:56:23,623 - Task failed successfully

2021-05-12 12:56:23,623 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_currents-3.json

2021-05-12 12:56:25,681 - Task failed successfully

2021-05-12 12:56:25,681 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_diameters-1.json

2021-05-12 12:56:35,343 - Task failed successfully

2021-05-12 12:56:35,343 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_diameters-2.json

2021-05-12 12:56:37,263 - Task failed successfully

2021-05-12 12:56:37,263 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_diameters-3.json

2021-05-12 12:56:39,243 - Task failed successfully

2021-05-12 12:56:39,243 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_endmassMasses-1.json

2021-05-12 12:56:41,105 - Task failed successfully

2021-05-12 12:56:41,106 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_endmassMasses-2.json

2021-05-12 12:56:43,004 - Task failed successfully

2021-05-12 12:56:43,004 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_endmassMasses-3.json

2021-05-12 12:56:44,888 - Task failed successfully

2021-05-12 12:56:44,888 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_lengthRatios-1.json

2021-05-12 12:56:46,829 - Task failed successfully

2021-05-12 12:56:46,829 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_lengthRatios-2.json

2021-05-12 12:56:48,709 - Task failed successfully

2021-05-12 12:56:48,709 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_lengthRatios-3.json

2021-05-12 12:56:50,626 - Task failed successfully

2021-05-12 12:56:50,626 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_lengths-1.json

2021-05-12 12:56:52,502 - Task failed successfully

2021-05-12 12:56:52,503 - 

Running application application_simulation_SSO-CHB, with json SSO_Bare_lengths-2.json

2021-05-12 12:56:54,431 - Task failed successfully

